"gbif.species","db.species","RLcat.europe","RL.catEU27","endemic.europe","endemic.eu","endemic","eu.assessment","note","check","kingdom","phylum","class","order","family","genus","gbif.species.id","EUSpecies","common.name","excluded","exclusion.reason","Species.Zoo.global","Species.Zoo.EU","Genus.Zoo.Global","NrIndivGlobal","NrIndivEU","MaxPopSizeEU","SecondMaxPopSizeEU","NrZoosGlobal","NrZoosEU","NrSustPopGlobal","NrSustPopEU","SustMetaPopGlobal","SustMetaPopEU","VC.category","perc.target.met.in.PAs.and.N2K","Representation.target.perc","Area.in.EU28.km2","db.subspecies","db.species.merged","TargetAreakm2","ProtectedAreakm2","Gap.km2","EEP","ESB","RLExsitu","RLExsituNeeded","Aark","Aze","ED.score","EDGE","ED.score.related","related.species","EDGE.Species","reason","Bodymass.g","THR_CCH","THR","LevelBreeding"
"Ablepharus budaki","Ablepharus budaki","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Ablepharus",8011236,1,"Snake-Eyed Skink","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,483.58,10,9154.2,NA,"Ablepharus budaki",915.42,4426.788036,0,0,0,0,0,0,0,10.01101931,0,NA,NA,NA,NA,NA,0,0,1
"Ablepharus kitaibelii","Ablepharus kitaibelii","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Ablepharus",9439986,1,"Juniper Skink","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",318.46,10,275621.27,NA,"Ablepharus kitaibelii",27562.127,87774.3496442,0,0,0,0,0,0,0,9.973233631,0,NA,NA,NA,NA,NA,0,0,1
"Acanthis flammea","Acanthis flammea","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis",5231630,1,"Common Redpoll","0",NA,1,1,0,11,7,3,1,6,3,0,0,0,0,"H",223.56,10,1337681.82,NA,"Carduelis flammea",133768.182,299052.1476792,0,0,0,0,0,0,0,3.324037,0,3.324037,"Acanthis flammea",0,"taxonomy",12.1666666666667,1,0,4
"Acanthodactylus erythrurus","Acanthodactylus erythrurus","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Acanthodactylus",5226733,1,"Spiny-footed Lizard","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"H",296.99,10,486249.46,NA,"Acanthodactylus erythrurus",48624.946,144411.2271254,0,0,0,0,0,0,0,15.02103935,0,NA,NA,NA,NA,NA,1,0,2
"Acanthodactylus schreiberi","Acanthodactylus schreiberi","EN","EN",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Acanthodactylus",5226767,1,"Schreiber's Fringe-fingered Lizard","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,43.43,56.73,9154.2,NA,"Acanthodactylus schreiberi",5193.17766,2255.397057738,2937.780602262,0,0,0,0,0,0,14.51638894,1,NA,NA,NA,NA,NA,1,1,2
"Accipiter brevipes","Accipiter brevipes","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",2480578,1,"Levant Sparrowhawk","0",NA,1,0,0,1,0,NA,NA,1,0,0,0,0,0,"H",397.61,10,156747.42,NA,"Accipiter brevipes",15674.742,62324.3416662,0,0,0,0,0,0,0,8.135965547,0,NA,NA,NA,NA,187.5,1,0,3
"Accipiter gentilis","Accipiter gentilis","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",2480589,1,"Northern Goshawk","0",NA,1,1,0,44,18,5,2,26,11,0,0,0,0,"H",66.89,47.33,14806.97,"arrigonii","Accipiter gentilis",7008.138901,4687.7441108789,2320.3947901211,0,0,0,0,0,0,8.810981474,0,NA,NA,NA,NA,901.666666666667,1,0,4
"Accipiter nisus","Accipiter nisus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",2480637,1,"Eurasian Sparrowhawk","0",NA,1,1,0,14,6,2,1,12,5,0,0,0,0,"H",63.62,100,731.55,"granti","Accipiter nisus",731.55,465.41211,266.13789,0,0,0,0,0,0,6.716942,0,NA,NA,NA,NA,237.5,1,0,4
"Acomys minous","Acomys minous","LC","LC","Yes","Yes","Yes","eu25","added EU endemism myself","found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Muridae","Acomys",2438264,1,"Crete Spiny Mouse","0",NA,1,1,0,30,30,20,10,2,2,0,0,0,0,NA,42.84,58.57,8330.89,NA,"Acomys minous",4879.402273,2090.3359337532,2789.0663392468,0,0,0,0,0,0,5.476796199,0,NA,NA,NA,NA,62.5,0,0,4
"Acrocephalus agricola","Acrocephalus agricola","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493137,1,"Paddyfield Warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",713.78,10,17712.07,NA,"Acrocephalus agricola",1771.207,12642.5213246,0,0,0,0,0,0,0,5.614464,0,NA,NA,NA,NA,9.6,0,0,2
"Acrocephalus arundinaceus","Acrocephalus arundinaceus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493128,1,"Great Reed-warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",338.96,10,2266342.99,NA,"Acrocephalus arundinaceus",226634.299,768199.6198904,0,0,0,0,0,0,0,3.678549,0,NA,NA,NA,NA,30,0,0,2
