"db.species","col.species","x","a1","a2","a3","a4","a5","a6","a7","a8","a9","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a31","a32","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a61","a62","a63","a66","a67","a68","a70","a71","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a95","a99","a100","a101","a102","a103","a104","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Alytes cisternasii","Alytes cisternasii","a1",1,0,0,0.18,0,0,0,1,1,0,0.01,0.58,0.03,0,0,0,0,0,0,0.78,0,0.87,0,0,0,0,0.94,0,0,0.27,0.12,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.62,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0.09,0,0.82,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes","Alytes cisternasii",2426610
"Alytes dickhilleni","Alytes dickhilleni","a2",0,1,0,0.07,0,0,0,1,1,0,0,0.01,0.32,0,0,0,0,0,0,0.1,0,0.17,0,0,0,0,1,0,0,0.2,0.13,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes","Alytes dickhilleni",2426613
"Alytes muletensis","Alytes muletensis","a3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes","Alytes muletensis",2426609
"Alytes obstetricans","Alytes obstetricans","a4",0.02,0,0,1,0.01,0,0.15,0.99,0.97,0.05,0.05,0.11,0.04,0,0,0,0.02,0,0,0.8,0,0.09,0,0,0,0,0.31,0,0,0,0.35,0.03,0,0.03,0,0,0,0,0.24,0,0.17,0,0.02,0,0.12,0,0,0,0.24,0.18,0,0.24,0.44,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0.29,0.12,0,0.28,0,0.47,0,0,0.32,0,0.01,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes","Alytes obstetricans",2426612
"Atylodes genei","Atylodes genei","a77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0.03,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Atylodes","Atylodes genei",5218389
"Bombina bombina","Bombina bombina","a5",0,0,0,0.02,1,0,0.29,1,0.54,0.95,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.76,0,0,0,0,0.27,0,0.61,0,0,0,0,0,0,0,0.71,0,0,0.92,0.75,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.34,0,0.05,0.65,0.2,0.05,0,0.06,0,0.03,0,0.03,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","Bombina bombina",2423443
"Bombina pachypus","Bombina pachypus","a6",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.02,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0.98,0,0,0.63,0,0.01,0,0,0.9,0,0.63,0,0,0.02,0,0,0,0.23,0,0,0,0.32,0.41,0.11,0.03,0,0,0,0.14,0,0.05,0,0.24,0,0.88,0,0,0,0.44,0,0,0,0,0,0,0.91,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","Bombina pachypus",2423436
"Bombina variegata","Bombina variegata","a7",0,0,0,0.23,0.21,0,1,1,0.33,0.54,0,0,0,0,0,0,0,0,0,0.74,0.05,0,0,0,0,0,0,0,0.1,0,0.05,0,0.02,0.22,0,0,0,0,0.61,0,0.39,0.09,0,0,0,0,0.09,0.01,0.48,0,0,0.58,0.82,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.74,0,0.19,0.51,0.03,0.24,0,0.08,0.05,0.12,0,0.09,0,0.01,0,0,0.11,0.07,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","Bombina variegata",2423435
"Bufo bufo","Bufo bufo","a8",0.01,0,0,0.1,0.05,0.01,0.07,1,0.31,0.21,0.01,0.02,0.01,0,0,0,0,0,0,0.23,0.03,0.03,0,0,0,0,0.06,0,0.01,0.01,0.06,0.01,0,0.16,0,0.02,0,0,0.08,0,0.07,0.01,0,0.02,0.01,0.01,0.01,0,0.09,0.03,0,0.1,0.27,0,0,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0.09,0.02,0.03,0.15,0.01,0.08,0.01,0.01,0.04,0.01,0.01,0.01,0,0.03,0,0,0.02,0.01,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","Bufo bufo",5217160
"Calotriton arnoldi","Calotriton arnoldi","a99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Calotriton","Calotriton arnoldi",2431827
