"gbif.species","class","excluded","exclusion.reason","redlist.eu","endemic.europe.final","vuln.clim.change","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.eu","breeding.expertise","ed.value","ed.value.adjust","cost.captive","cost.wild","overlap.sum","cost.wild.adjust","Ki","Ai","Ii","Gi","ev.wild","ev.zoo","ev.both","ev.nothing","benefit.wild","benefit.zoo","benefit.both","cost.benefit.wild","cost.benefit.zoo","cost.benefit.both","net.strategy","cost.net.strategy","rank1.ben","rank2.ben.ed","rank3.costben","rank4.costben.ed"
"Pelophylax cerigensis","Amphibia",0,NA,"CR","Yes","H",32.49,0,0,1,0,2,7.588826375,0.0397320752617801,6743000,141967.900135659,1,141967.900135659,0.3,0.3249,0.999,0.1,0.609591234997,0.010693,0.61349532264703,0.0007,0.608891234997,0.009993,0.61279532264703,42.8893598070527,0.0148198131395521,0.89004819127037,"B","W",4,10,38,46
"Pelophylax cretensis","Amphibia",0,NA,"EN","Yes","H",23.76,0,0,1,0,2,9.027728816,0.047265595895288,6743000,371561.566320317,2,185780.783160158,0.3,0.2376,0.667,0.1,0.781537197376,0.240769,0.78372182540224,0.2331,0.548437197376,0.00766900000000001,0.55062182540224,29.5206634425264,0.0113732759899155,0.794687900561787,"B","W",6,8,46,50
"Speleomantes supramontis","Amphibia",0,NA,"EN","Yes","H",52.74,0,0,1,0,2,16.15963459,0.0846054167015707,6743000,154156.575858142,3.53,43670.4180901253,0.3,0.5274,0.667,0.1,0.545662167076,0.240769,0.55020554540524,0.2331,0.312562167076,0.00766900000000001,0.31710554540524,71.5729733640165,0.0113732759899155,0.467247598409941,"B","W",13,7,32,30
"Speleomantes flavus","Amphibia",0,NA,"VU","Yes","H",13.73,0,0,1,0,2,16.24232882,0.0850383707853403,6743000,102175.598312632,3.05,33500.1961680761,0.3,0.1373,0.1,0.1,0.9456455387,0.6337,0.946189083313,0.63,0.3156455387,0.00370000000000015,0.316189083313,94.2219971239432,0.00548717188195187,0.466596434973611,"B","W",14,6,27,28
"Euproctus platycephalus","Amphibia",0,NA,"EN","Yes","H",62.47,1,1,0,224,4,19.4208788,0.101679993717277,0,327028.507443855,4.63,70632.5070073121,0.3,0.6247,0.667,1,0.5266037287081,0.30979,0.5266037287081,0.30979,0.2168137287081,0,0.2168137287081,30.696026220003,0,30.696026220003,"W","W",21,14,45,38
"Speleomantes imperialis","Amphibia",0,NA,"NT","Yes","H",36.06,0,0,1,0,2,16.60155685,0.0869191458115183,6743000,367286.55120029,3.02,121618.063311354,0.3,0.3606,0.01,0.1,0.88860409708,0.69607,0.8897180561092,0.693,0.19560409708,0.00307000000000002,0.1967180561092,16.0834740953928,0.00455286964259234,0.286568100795847,"B","W",25,21,49,49
"Alytes muletensis","Amphibia",0,NA,"VU","Yes","H",42.71,1,1,0,841,4,36.866158,0.193016534031414,0,30805.185379332,1.96,15716.9313159857,0.3,0.4271,0.1,1,0.85116918907,0.667,0.85116918907,0.667,0.18416918907,0,0.18416918907,117.178847045467,0,117.178847045467,"W","W",27,5,26,14
"Atylodes genei","Amphibia",0,NA,"VU","Yes","H",57.19,0,0,0,0,1,19.81422617,0.103739404031414,6743000,175753.22733694,2.69,65335.7722442157,0.3,0.5719,0.1,0.05,0.7810520883,0.63185,0.7821468278585,0.63,0.1510520883,0.00184999999999991,0.1521468278585,23.1193545452236,0.00274358594097569,0.223471392933883,"B","W",29,22,47,42
"Discoglossus pictus","Amphibia",0,NA,"LC",NA,"H",60.64,1,1,0,26,4,33.89646798,0.177468418743455,3393500,745406.039438033,5.82,128076.6390787,0.3,0.6064,0.0001,0.408,0.822761601446451,0.712172856,0.825454751650345,0.70773182,0.115029781446451,0.00444103600000001,0.117722931650345,8.98132417230033,0.0130868896419626,0.3342904151055,"B","W",35,15,51,47
"Rana pyrenaica","Amphibia",0,NA,"EN","Yes","L",90.39,0,0,1,0,2,13.01118012,0.0681213618848168,6743000,47960.8543889658,9.58,5006.35223266867,0,0.9039,0.667,0.1,0.3970987,0.33967,0.403127713,0.333,0.0640987,0.00667000000000001,0.070127713,128.034738710008,0.00989173958178854,0.103923602527133,"B","W",42,44,25,27
"Salamandra lanzai","Amphibia",0,NA,"VU","Yes","L",40.37,0,0,1,0,2,13.96540401,0.0731172984816754,6743000,89489.446305766,3.16,28319.4450334703,0,0.4037,0.1,0.1,0.95963,0.901,0.9600337,0.9,0.05963,0.001,0.0600337,21.056203583624,0.0014830194275545,0.0886587916687827,"B","W",45,45,48,48
"Pelophylax epeiroticus","Amphibia",0,NA,"VU","Yes","L",43.74,0,0,1,0,2,8.781316295,0.0459754779842932,6743000,631237.331329735,8.45,74702.6427609154,0,0.4374,0.1,0.1,0.95626,0.901,0.9566974,0.9,0.05626,0.001,0.0566974,7.53119272902556,0.0014830194275545,0.0831620312161923,"B","W",47,53,52,60
"Speleomantes sarrabusensis","Amphibia",0,NA,"VU","Yes","H",87.78,0,0,1,0,2,16.85238464,0.0882323803141361,6743000,1292.031065208,3.77,342.7138104,0.3,0.8778,0.1,0.1,0.6719959852,0.6337,0.675276025348,0.63,0.0419959852,0.00370000000000015,0.045276025348,1225.3951817986,0.00548717188195187,0.0671418127025852,"B","W",48,47,6,5
"Lyciasalamandra helverseni","Amphibia",0,NA,"VU","Yes","L",58.29,0,0,0,0,1,17.88438066,0.0936355008376963,6743000,35574.79881137,1.21,29400.660174686,0,0.5829,0.1,0.05,0.94171,0.9005,0.94200145,0.9,0.04171,0.000499999999999945,0.04200145,14.1867562674366,0.000741509713777169,0.062018554582854,"B","W",49,48,50,51
"Speleomantes ambrosii","Amphibia",0,NA,"NT","Yes","L",23.1,0,0,1,0,2,15.70193041,0.0822090597382199,6743000,312687.318199516,9.07,34474.8972656578,0,0.231,0.01,0.1,0.99769,0.9901,0.9977131,0.99,0.00768999999999997,0.000099999999999989,0.00771310000000003,2.23060853256273,0.000148301942755434,0.0113804921698963,"B","W",64,83,61,69
