"gbif.species","gbif.id","iucn.species","common.name","genus","family","order","class","excluded","exclusion.reason","redlist.europe","redlist.eu","endemic.europe.iucn","endemic.eu.iucn","endemic.europe.final","vuln.clim.change","aze","target.area.km2","protected.area.km2","gap.km2","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.global","pop.zoo.eu","max.pop.eu","second.max.pop.eu","nr.zoos.global","nr.zoos.eu","eep","esb","aark","redlist.exsitu","redlist.exsitu.needed","ed.value","edge","bodymass.g"
"Ablepharus budaki",8011236,"Ablepharus budaki","Snake-Eyed Skink","Ablepharus","Scincidae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,NA,0,915.42,4426.788036,0,483.58,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,10.01101931,0,NA
"Ablepharus kitaibelii",9439986,"Ablepharus kitaibelii","Juniper Skink","Ablepharus","Scincidae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"L",0,27562.127,87774.3496442,0,318.46,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,9.973233631,0,NA
"Acanthis flammea",5231630,"Acanthis flammea","Common Redpoll","Acanthis","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,133768.182,299052.1476792,0,223.56,1,1,0,11,7,3,1,6,3,0,0,0,0,0,3.324037,0,12.1666666666667
"Acanthodactylus erythrurus",5226733,"Acanthodactylus erythrurus","Spiny-footed Lizard","Acanthodactylus","Lacertidae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"H",0,48624.946,144411.2271254,0,296.99,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,15.02103935,0,NA
"Acanthodactylus schreiberi",5226767,"Acanthodactylus schreiberi","Schreiber's Fringe-fingered Lizard","Acanthodactylus","Lacertidae","Squamata","Reptilia",0,NA,"EN","EN",NA,NA,NA,NA,0,5193.17766,2255.397057738,2937.780602262,43.43,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,14.51638894,1,NA
"Accipiter brevipes",2480578,"Accipiter brevipes","Levant Sparrowhawk","Accipiter","Accipitridae","Accipitriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,15674.742,62324.3416662,0,397.61,1,0,0,1,0,NA,NA,1,0,0,0,0,0,0,8.135965547,0,187.5
"Accipiter gentilis",2480589,"Accipiter gentilis","Northern Goshawk","Accipiter","Accipitridae","Accipitriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,7008.138901,4687.7441108789,2320.3947901211,66.89,1,1,0,44,18,5,2,26,11,0,0,0,0,0,8.810981474,0,901.666666666667
"Accipiter nisus",2480637,"Accipiter nisus","Eurasian Sparrowhawk","Accipiter","Accipitridae","Accipitriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,731.55,465.41211,266.13789,63.62,1,1,0,14,6,2,1,12,5,0,0,0,0,0,6.716942,0,237.5
"Acomys minous",2438264,"Acomys minous","Crete Spiny Mouse","Acomys","Muridae","Rodentia","Mammalia",0,NA,"LC","LC","Yes","Yes","Yes",NA,0,4879.402273,2090.3359337532,2789.0663392468,42.84,1,1,0,30,30,20,10,2,2,0,0,0,0,0,5.476796199,0,62.5
"Acrocephalus agricola",2493137,"Acrocephalus agricola","Paddyfield Warbler","Acrocephalus","Acrocephalidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,1771.207,12642.5213246,0,713.78,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,5.614464,0,9.6
"Acrocephalus arundinaceus",2493128,"Acrocephalus arundinaceus","Great Reed-warbler","Acrocephalus","Acrocephalidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,226634.299,768199.6198904,0,338.96,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,3.678549,0,30
"Acrocephalus dumetorum",2493145,"Acrocephalus dumetorum","Blyth's Reed-warbler","Acrocephalus","Acrocephalidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,41073.679,42079.9841355,0,102.45,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,6.298932,0,11.2
"Acrocephalus melanopogon",2493124,"Acrocephalus melanopogon","Moustached Warbler","Acrocephalus","Acrocephalidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,27260.003,116143.9687818,0,426.06,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,6.261162,0,10.9
"Acrocephalus paludicola",2493114,"Acrocephalus paludicola","Aquatic Warbler","Acrocephalus","Acrocephalidae","Passeriformes","Aves",0,NA,"VU","NT","Yes",NA,"Yes","L",0,15935.554,83613.851838,0,524.7,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,6.821142,1,11.6
"Acrocephalus palustris",2493136,"Acrocephalus palustris","Marsh Warbler","Acrocephalus","Acrocephalidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,215031.661,670038.655676,0,311.6,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,6.353201,0,11.5
"Acrocephalus schoenobaenus",2493129,"Acrocephalus schoenobaenus","Sedge Warbler","Acrocephalus","Acrocephalidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,259213.852,631937.4497908,0,243.79,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,6.225147,0,11.85
"Acrocephalus scirpaceus",2493118,"Acrocephalus scirpaceus","Eurasian Reed-warbler","Acrocephalus","Acrocephalidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,297814.59,802431.631296,0,269.44,1,1,0,8,8,8,0,1,1,0,0,0,0,0,4.099275,0,12.3
"Actitis hypoleucos",2481800,"Actitis hypoleucos","Common Sandpiper","Actitis","Scolopacidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,311123.927,987445.1195126,0,317.38,1,1,0,12,5,2,1,6,4,0,0,0,0,0,16.63696638,0,48
"Aegithalos caudatus",2495000,"Aegithalos caudatus","Long-tailed Tit","Aegithalos","Aegithalidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,365836.202,1008390.9071928,0,275.64,1,1,0,23,9,4,2,7,4,0,0,0,0,0,7.871647,0,8.6
